user_id,entity_type,entity_id,action,created_at,weight
118,EVENT,4,ATTEND,2026-04-22 11:41:31.013825,2.0
114,CAMPAIGN,1,VOTE,2026-04-21 11:27:40.000000,3.0
81,CAMPAIGN,7,VOTE,2026-04-21 11:27:40.000000,3.0
100,CAMPAIGN,17,VOTE,2026-04-21 11:27:40.000000,3.0
8,CAMPAIGN,21,VOTE,2026-04-21 11:27:40.000000,3.0
110,CAMPAIGN,24,VOTE,2026-04-21 11:27:40.000000,3.0
66,CAMPAIGN,28,VOTE,2026-04-21 11:27:40.000000,3.0
43,CAMPAIGN,37,VOTE,2026-04-21 11:27:40.000000,3.0
44,CAMPAIGN,41,VOTE,2026-04-21 11:27:40.000000,3.0
34,EVENT,3,ATTEND,2026-04-21 11:27:40.000000,2.0
114,EVENT,7,ATTEND,2026-04-21 11:27:40.000000,2.0
40,EVENT,15,ATTEND,2026-04-21 11:27:40.000000,2.0
43,EVENT,22,ATTEND,2026-04-21 11:27:40.000000,2.0
94,EVENT,23,ATTEND,2026-04-21 11:27:40.000000,2.0
55,EVENT,25,ATTEND,2026-04-21 11:27:40.000000,2.0
50,EVENT,28,ATTEND,2026-04-21 11:27:40.000000,2.0
16,EVENT,28,ATTEND,2026-04-21 11:27:40.000000,2.0
46,EVENT,34,ATTEND,2026-04-21 11:27:40.000000,2.0
54,EVENT,42,ATTEND,2026-04-21 11:27:40.000000,2.0
26,EVENT,46,ATTEND,2026-04-21 11:27:40.000000,2.0
26,EVENT,50,ATTEND,2026-04-21 11:27:40.000000,2.0
62,EVENT,65,ATTEND,2026-04-21 11:27:40.000000,2.0
51,EVENT,68,ATTEND,2026-04-21 11:27:40.000000,2.0
39,EVENT,71,ATTEND,2026-04-21 11:27:40.000000,2.0
47,EVENT,72,ATTEND,2026-04-21 11:27:40.000000,2.0
37,EVENT,76,ATTEND,2026-04-21 11:27:40.000000,2.0
81,EVENT,85,ATTEND,2026-04-21 11:27:40.000000,2.0
96,EVENT,92,ATTEND,2026-04-21 11:27:40.000000,2.0
49,PROJECT,1,VOTE,2026-04-21 11:27:40.000000,3.0
90,PROJECT,2,FUND,2026-04-21 11:27:40.000000,4.0
48,PROJECT,4,FUND,2026-04-21 11:27:40.000000,4.0
5,PROJECT,13,VOTE,2026-04-21 11:27:40.000000,3.0
55,PROJECT,13,VOTE,2026-04-21 11:27:40.000000,3.0
48,PROJECT,13,VOTE,2026-04-21 11:27:40.000000,3.0
116,PROJECT,14,VOTE,2026-04-21 11:27:40.000000,3.0
117,PROJECT,14,VOTE,2026-04-21 11:27:40.000000,3.0
53,PROJECT,15,FUND,2026-04-21 11:27:40.000000,4.0
32,PROJECT,17,FUND,2026-04-21 11:27:40.000000,4.0
84,PROJECT,25,FUND,2026-04-21 11:27:40.000000,4.0
73,PROJECT,26,VOTE,2026-04-21 11:27:40.000000,3.0
26,PROJECT,26,VOTE,2026-04-21 11:27:40.000000,3.0
16,PROJECT,30,VOTE,2026-04-21 11:27:40.000000,3.0
42,PROJECT,31,FUND,2026-04-21 11:27:40.000000,4.0
97,PROJECT,54,VOTE,2026-04-21 11:27:40.000000,3.0
73,PROJECT,56,VOTE,2026-04-21 11:27:40.000000,3.0
16,PROJECT,58,VOTE,2026-04-21 11:27:40.000000,3.0
82,PROJECT,59,FUND,2026-04-21 11:27:40.000000,4.0
100,PROJECT,60,FUND,2026-04-21 11:27:40.000000,4.0
55,PROJECT,67,VOTE,2026-04-21 11:27:40.000000,3.0
55,PROJECT,73,FUND,2026-04-21 11:27:40.000000,4.0
87,PROJECT,79,VOTE,2026-04-21 11:27:40.000000,3.0
41,PROJECT,79,VOTE,2026-04-21 11:27:40.000000,3.0
108,PROJECT,82,FUND,2026-04-21 11:27:40.000000,4.0
94,PROJECT,86,VOTE,2026-04-21 11:27:40.000000,3.0
32,PROJECT,89,FUND,2026-04-21 11:27:40.000000,4.0
60,PROJECT,94,VOTE,2026-04-21 11:27:40.000000,3.0
115,PROJECT,96,VOTE,2026-04-21 11:27:40.000000,3.0
16,POST,1,LIKE,2026-04-21 11:27:40.000000,2.0
46,POST,2,LIKE,2026-04-21 11:27:40.000000,2.0
57,POST,8,LIKE,2026-04-21 11:27:40.000000,2.0
47,POST,10,LIKE,2026-04-21 11:27:40.000000,2.0
54,POST,18,LIKE,2026-04-21 11:27:40.000000,2.0
85,POST,27,LIKE,2026-04-21 11:27:40.000000,2.0
88,POST,53,LIKE,2026-04-21 11:27:40.000000,2.0
86,POST,54,LIKE,2026-04-21 11:27:40.000000,2.0
36,POST,59,COMMENT,2026-04-21 11:27:40.000000,3.0
84,POST,72,COMMENT,2026-04-21 11:27:40.000000,3.0
72,POST,78,LIKE,2026-04-21 11:27:40.000000,2.0
2,POST,83,LIKE,2026-04-21 11:27:40.000000,2.0
20,POST,100,LIKE,2026-04-21 11:27:40.000000,2.0
51,CAMPAIGN,7,VOTE,2026-04-20 11:27:40.000000,3.0
73,CAMPAIGN,8,VOTE,2026-04-20 11:27:40.000000,3.0
